D1,14:30:00,14:40:00,Task description,24.08.2019
D2,14:40:00,14:50:00,Task description,24.08.2019
D3,14:50:00,15:00:00,Task description,24.08.2019
D4,15:00:00,15:10:00,Task description,24.08.2019
D5,15:10:00,15:20:00,Task description,24.08.2019
D6,15:20:00,15:30:00,Task description,24.08.2019
D7,15:30:00,15:40:00,Task description,24.08.2019
D8,15:40:00,15:50:00,Task description,24.08.2019
D9,15:50:00,16:00:00,Task description,24.08.2019
D10,16:00:00,16:10:00,Task description,24.08.2019
D11,16:10:00,16:20:00,Task description,24.08.2019
D12,16:20:00,16:30:00,Task description,24.08.2019
D13,16:30:00,16:40:00,Task description,24.08.2019
D14,16:40:00,16:50:00,Task description,24.08.2019
D15,16:50:00,17:00:00,Task description,24.08.2019
D16,17:00:00,17:10:00,Task description,24.08.2019
D17,17:10:00,17:20:00,Task description,24.08.2019
D18,17:20:00,17:30:00,Task description,24.08.2019
D19,17:30:00,17:40:00,Task description,24.08.2019
D20,17:40:00,17:50:00,Task description,24.08.2019
D21,17:50:00,18:00:00,Task description,24.08.2019
D22,18:00:00,18:10:00,Task description,24.08.2019
D23,18:10:00,18:20:00,Task description,24.08.2019
D24,18:20:00,18:30:00,Task description,24.08.2019
D25,18:30:00,18:40:00,Task description,24.08.2019
D26,18:40:00,18:50:00,Task description,24.08.2019
D27,18:50:00,19:00:00,Task description,24.08.2019
D28,19:00:00,19:10:00,Task description,24.08.2019
D29,19:10:00,19:20:00,Task description,24.08.2019
D30,19:20:00,19:30:00,Task description,24.08.2019
D31,19:30:00,19:40:00,Task description,24.08.2019
D32,19:40:00,19:50:00,Task description,24.08.2019
D33,19:50:00,20:00:00,Task description,24.08.2019
D34,20:00:00,20:10:00,Task description,24.08.2019
D35,20:10:00,20:20:00,Task description,24.08.2019
D36,20:20:00,20:30:00,Task description,24.08.2019
D37,20:30:00,20:40:00,Task description,24.08.2019
D38,20:40:00,20:50:00,Task description,24.08.2019
D39,20:50:00,21:00:00,Task description,24.08.2019
D40,21:00:00,21:10:00,Task description,24.08.2019
